"","diff","lwr","upr","p.adj"
"Teflon:Plain:One-Regular:Plain:One",-59.3998000000001,-100.277879016365,-18.5217209836349,0.000100768084311031
"Teflon:Twill:One-Regular:Plain:One",-64.6002000000001,-105.478279016365,-23.7221209836349,1.30084339853287e-05
"Teflon:Plain:Two-Regular:Plain:One",-96.3,-137.178079016365,-55.4219209836348,4.42101466546774e-10
"Teflon:Twill:Two-Regular:Plain:One",-109.5,-150.378079016365,-68.6219209836349,4.28374447025703e-10
"Teflon:Plain:Three-Regular:Plain:One",-124.1,-164.978079016365,-83.2219209836348,4.28213242642528e-10
"Soil:Twill:Three-Regular:Plain:One",41.9,1.02192098363477,82.7780790163652,0.0377670265636613
"Teflon:Twill:Three-Regular:Plain:One",-137.6002,-178.478279016365,-96.7221209836348,4.28132418406335e-10
"Teflon:Plain:One-Water:Plain:One",-48.8997999999999,-89.7778790163651,-8.02172098363468,0.0044102446730081
"Teflon:Twill:One-Water:Plain:One",-54.1001999999999,-94.9782790163651,-13.2221209836347,0.000726992282264805
"Teflon:Plain:Two-Water:Plain:One",-85.7999999999999,-126.678079016365,-44.9219209836347,1.95268945457627e-09
"Soil:Twill:Two-Water:Plain:One",46.1000000000001,5.22192098363487,86.9780790163653,0.010872730613785
"Teflon:Twill:Two-Water:Plain:One",-98.9999999999999,-139.878079016365,-58.1219209836347,4.32401670025229e-10
"Teflon:Plain:Three-Water:Plain:One",-113.6,-154.478079016365,-72.7219209836347,4.28327151524854e-10
"Soil:Twill:Three-Water:Plain:One",52.4000000000001,11.5219209836349,93.2780790163654,0.0013324124701124
"Teflon:Twill:Three-Water:Plain:One",-127.1002,-167.978279016365,-86.2221209836347,4.28186819334542e-10
"Teflon:Plain:One-Soil:Plain:One",-47.8,-88.6780790163652,-6.92192098363475,0.00632582571742268
"Teflon:Twill:One-Soil:Plain:One",-53.0004,-93.8784790163652,-12.1223209836348,0.0010776299574512
"Teflon:Plain:Two-Soil:Plain:One",-84.7001999999999,-125.578279016365,-43.8221209836347,2.91121604600875e-09
"Soil:Twill:Two-Soil:Plain:One",47.1998,6.3217209836348,88.0778790163652,0.00767627278724181
"Teflon:Twill:Two-Soil:Plain:One",-97.9002,-138.778279016365,-57.0221209836347,4.35023350675579e-10
"Teflon:Plain:Three-Soil:Plain:One",-112.5002,-153.378279016365,-71.6221209836347,4.28322599610453e-10
"Soil:Twill:Three-Soil:Plain:One",53.4998000000001,12.6217209836349,94.3778790163653,0.000901947189831831
"Teflon:Twill:Three-Soil:Plain:One",-126.0004,-166.878479016365,-85.1223209836347,4.28194812940319e-10
"Regular:Twill:One-Teflon:Plain:One",60.1995999999998,19.3215209836346,101.077679016365,7.40187798062841e-05
"Water:Twill:One-Teflon:Plain:One",58.2995999999999,17.4215209836347,99.1776790163651,0.000153402118853174
"Soil:Twill:One-Teflon:Plain:One",68.0998,27.2217209836348,108.977879016365,3.12359044252197e-06
