run,hotAirTemp,dryTime,rawMatThck,windSpeed,moisture
1,70,20,1,0.26,20.33
2,70,13,1,0.12,20.15
3,85,16.5,0.75,0.19,18.26
4,55,16.5,0.75,0.19,18.9
5,55,16.5,0.75,0.19,17.99
6,70,20,0.5,0.12,18.54
7,40,20,1,0.12,21.26
8,40,13,0.5,0.26,18.8
9,40,20,0.5,0.26,20.61
10,70,20,1,0.12,20.22
11,70,20,0.5,0.26,24.38
12,55,16.5,0.75,0.05,21.53
13,55,16.5,1.25,0.19,20.62
14,55,16.5,0.25,0.19,23.84
15,40,20,0.5,0.12,19.89
16,25,16.5,0.75,0.19,17.99
17,55,16.5,0.75,0.19,18.9
18,55,16.5,0.75,0.33,22.12
19,70,13,0.5,0.12,19.58
20,40,13,1,0.26,18.47
21,55,23.5,0.75,0.19,22.12
22,70,13,0.5,0.26,19.29
23,55,16.5,0.75,0.19,18.9
24,40,13,1,0.12,18.47
25,70,13,1,0.26,20.29
26,55,9.5,0.75,0.19,19.03
27,40,20,1,0.26,21.61
28,55,16.5,0.75,0.19,18.9
29,55,16.5,0.75,0.19,18.9
30,40,13,0.5,0.12,17.73
