instrument,subject,repNum,breathAlc
1,1,1,0.0938
1,1,2,0.0946
1,1,3,0.0944
1,1,4,0.0943
1,1,5,0.0922
1,1,6,0.0924
1,1,7,0.0935
1,1,8,0.0909
1,1,9,0.0961
1,1,10,0.0926
1,3,1,0.0791
1,3,2,0.079
1,3,3,0.0787
1,3,4,0.0805
1,3,5,0.0805
1,3,6,0.0795
1,3,7,0.0775
1,3,8,0.0799
1,3,9,0.081
1,3,10,0.0801
1,2,1,0.0588
1,2,2,0.0681
1,2,3,0.0651
1,2,4,0.0639
1,2,5,0.0566
1,2,6,0.0627
1,2,7,0.0601
1,2,8,0.068
1,2,9,0.0588
1,2,10,0.0575
2,1,1,0.0857
2,1,2,0.0845
2,1,3,0.087
2,1,4,0.0869
2,1,5,0.0876
2,1,6,0.087
2,1,7,0.0833
2,1,8,0.0884
2,1,9,0.0876
2,1,10,0.0846
2,3,1,0.0738
2,3,2,0.0777
2,3,3,0.075
2,3,4,0.0738
2,3,5,0.0753
2,3,6,0.0718
2,3,7,0.0741
2,3,8,0.0714
2,3,9,0.0726
2,3,10,0.0737
2,2,1,0.0588
2,2,2,0.0608
2,2,3,0.0613
2,2,4,0.0625
2,2,5,0.0589
2,2,6,0.0618
2,2,7,0.0653
2,2,8,0.0579
2,2,9,0.0581
2,2,10,0.0592
3,1,1,0.0883
3,1,2,0.0926
3,1,3,0.09
3,1,4,0.0927
3,1,5,0.0917
3,1,6,0.0897
3,1,7,0.0895
3,1,8,0.0922
3,1,9,0.0935
3,1,10,0.0931
3,3,1,0.0777
3,3,2,0.077
3,3,3,0.0794
3,3,4,0.0822
3,3,5,0.0765
3,3,6,0.0706
3,3,7,0.074
3,3,8,0.0782
3,3,9,0.0745
3,3,10,0.0747
3,2,1,0.0596
3,2,2,0.0607
3,2,3,0.0595
3,2,4,0.0629
3,2,5,0.0645
3,2,6,0.0606
3,2,7,0.0561
3,2,8,0.0611
3,2,9,0.0594
3,2,10,0.0649
4,1,1,0.0842
4,1,2,0.0801
4,1,3,0.0821
4,1,4,0.0815
4,1,5,0.0794
4,1,6,0.0826
4,1,7,0.0803
4,1,8,0.0763
4,1,9,0.0778
4,1,10,0.0792
4,3,1,0.0703
4,3,2,0.0681
4,3,3,0.0734
4,3,4,0.0691
4,3,5,0.0711
4,3,6,0.0735
4,3,7,0.0677
4,3,8,0.0667
4,3,9,0.0668
4,3,10,0.069
4,2,1,0.0511
4,2,2,0.057
4,2,3,0.0522
4,2,4,0.0557
4,2,5,0.0561
4,2,6,0.0554
4,2,7,0.0553
4,2,8,0.0634
4,2,9,0.0565
4,2,10,0.0487
5,1,1,0.0918
5,1,2,0.0907
5,1,3,0.0871
5,1,4,0.0864
5,1,5,0.091
5,1,6,0.0888
5,1,7,0.0883
5,1,8,0.0853
5,1,9,0.0879
5,1,10,0.0915
5,3,1,0.0717
5,3,2,0.0755
5,3,3,0.0754
5,3,4,0.0727
5,3,5,0.0756
5,3,6,0.0763
5,3,7,0.0771
5,3,8,0.077
5,3,9,0.0719
5,3,10,0.0754
5,2,1,0.0645
5,2,2,0.0646
5,2,3,0.0637
5,2,4,0.0647
5,2,5,0.0643
5,2,6,0.0642
5,2,7,0.0643
5,2,8,0.0641
5,2,9,0.0663
5,2,10,0.0602
6,1,1,0.0852
6,1,2,0.0848
6,1,3,0.0843
6,1,4,0.0858
6,1,5,0.0837
6,1,6,0.085
6,1,7,0.0844
6,1,8,0.085
6,1,9,0.0833
6,1,10,0.0844
6,3,1,0.0711
6,3,2,0.0709
6,3,3,0.0708
6,3,4,0.0707
6,3,5,0.0738
6,3,6,0.0717
6,3,7,0.0713
6,3,8,0.0703
6,3,9,0.0697
6,3,10,0.0745
6,2,1,0.0627
6,2,2,0.0636
6,2,3,0.0576
6,2,4,0.0564
6,2,5,0.0612
6,2,6,0.0616
6,2,7,0.0603
6,2,8,0.0597
6,2,9,0.0599
6,2,10,0.059
