author,Type,Style,ageDth,cageDth,agePeak
Eliot,0,0,77,8.57,23
Cummings,0,0,68,-0.43,26
Plath,0,0,31,-37.43,30
Pound,0,0,87,18.57,30
Wilber,0,0,86,17.57,34
Williams,0,1,80,11.57,40
Bishop,0,1,68,-0.43,29
Moore,0,1,85,16.57,32
Lowell,0,1,60,-8.43,41
Stevens,0,1,76,7.57,42
Frost,0,1,89,20.57,48
Fitzgerald,1,0,44,-24.43,29
Hemingway,1,0,62,-6.43,30
Melville,1,0,72,3.57,32
Lawrence,1,0,45,-23.43,35
Joyce,1,0,59,-9.43,40
James,1,1,73,4.57,38
Faulkner,1,1,65,-3.43,39
Dickens,1,1,58,-10.43,41
Woolf,1,1,59,-9.43,45
Conrad,1,1,67,-1.43,47
Twain,1,1,75,6.57,50
Hardy,1,1,88,19.57,51
