variety,replicate,alphaAcid
1,1,708
1,2,708
1,3,728
1,4,737
1,5,651
1,6,727
1,7,681
1,8,722
1,9,720
1,10,717
2,1,553
2,2,545
2,3,557
2,4,560
2,5,540
2,6,480
2,7,520
2,8,455
2,9,547
2,10,482
3,1,672
3,2,662
3,3,680
3,4,661
3,5,662
3,6,648
3,7,654
3,8,657
3,9,655
3,10,648
4,1,490
4,2,483
4,3,458
4,4,470
4,5,462
4,6,473
4,7,453
4,8,446
4,9,449
4,10,451
5,1,846
5,2,809
5,3,843
5,4,861
5,5,854
5,6,865
5,7,842
5,8,843
5,9,843
5,10,842
6,1,588
6,2,617
6,3,598
6,4,600
6,5,583
6,6,570
6,7,612
6,8,539
6,9,647
6,10,548
7,1,493
7,2,428
7,3,452
7,4,478
7,5,379
7,6,350
7,7,403
7,8,363
7,9,388
7,10,384
8,1,518
8,2,524
8,3,511
8,4,513
8,5,492
8,6,507
8,7,518
8,8,507
8,9,499
8,10,520
9,1,583
9,2,562
9,3,538
9,4,556
9,5,552
9,6,515
9,7,517
9,8,515
9,9,522
9,10,513
10,1,528
10,2,542
10,3,548
10,4,548
10,5,540
10,6,563
10,7,547
10,8,546
10,9,545
10,10,532
