source,year,index
DJIA,1965,1.103
DJIA,1964,1.145
DJIA,1963,1.169
DJIA,1962,0.890
DJIA,1961,1.207
DJIA,1960,0.896
DJIA,1959,1.184
DJIA,1958,1.425
DJIA,1957,0.833
DJIA,1956,1.000
DJIA,1955,1.231
DJIA,1954,1.393
DJIA,1953,0.965
DJIA,1952,1.074
DJIA,1951,1.174
DJIA,1950,1.179
DJIA,1949,1.114
DJIA,1948,0.972
POOR,1965,1.099
POOR,1964,1.131
POOR,1963,1.201
POOR,1962,0.872
POOR,1961,1.231
POOR,1960,0.953
POOR,1959,1.094
POOR,1958,1.376
POOR,1957,0.856
POOR,1956,1.034
POOR,1955,1.301
POOR,1954,1.497
POOR,1953,0.925
POOR,1952,1.109
POOR,1951,1.178
POOR,1950,1.247
POOR,1949,1.091
POOR,1948,0.996
NYSE,1965,1.095
NYSE,1964,1.143
NYSE,1963,1.180
NYSE,1962,0.880
NYSE,1961,1.240
NYSE,1960,0.976
NYSE,1959,1.097
NYSE,1958,1.366
NYSE,1957,0.866
NYSE,1956,1.026
NYSE,1955,1.222
NYSE,1954,1.426
NYSE,1953,0.938
NYSE,1952,1.065
NYSE,1951,1.132
NYSE,1950,1.211
NYSE,1949,1.102
NYSE,1948,0.972
GNP,1965,1.086
GNP,1964,1.066
GNP,1963,1.050
GNP,1962,1.072
GNP,1961,1.032
GNP,1960,1.041
GNP,1959,1.086
GNP,1958,1.044
GNP,1957,1.056
GNP,1956,1.055
GNP,1955,1.095
GNP,1954,0.994
GNP,1953,1.053
GNP,1952,1.055
GNP,1951,1.156
GNP,1950,1.102
GNP,1949,0.996
GNP,1948,1.110
CPI,1965,1.017
CPI,1964,1.013
CPI,1963,1.012
CPI,1962,1.012
CPI,1961,1.011
CPI,1960,1.016
CPI,1959,1.008
CPI,1958,1.028
CPI,1957,1.035
CPI,1956,1.015
CPI,1955,0.997
CPI,1954,1.004
CPI,1953,1.008
CPI,1952,1.022
CPI,1951,1.080
CPI,1950,1.009
CPI,1949,0.990
CPI,1948,1.077
FRB,1965,1.083
FRB,1964,1.064
FRB,1963,1.051
FRB,1962,1.078
FRB,1961,1.099
FRB,1960,1.029
FRB,1959,1.127
FRB,1958,0.930
FRB,1957,1.008
FRB,1956,1.034
FRB,1955,1.126
FRB,1954,0.940
FRB,1953,1.083
FRB,1952,1.037
FRB,1951,1.085
FRB,1950,1.157
FRB,1949,0.945
FRB,1948,1.041
BWEEK,1965,1.093
BWEEK,1964,1.073
BWEEK,1963,1.060
BWEEK,1962,1.018
BWEEK,1961,1.154
BWEEK,1960,0.917
BWEEK,1959,1.073
BWEEK,1958,1.099
BWEEK,1957,0.906
BWEEK,1956,1.011
BWEEK,1955,1.125
BWEEK,1954,1.074
BWEEK,1953,0.952
BWEEK,1952,1.141
BWEEK,1951,1.012
BWEEK,1950,1.213
BWEEK,1949,0.995
BWEEK,1948,1.019
MONEY,1965,1.048
MONEY,1964,1.043
MONEY,1963,1.038
MONEY,1962,1.013
MONEY,1961,1.031
MONEY,1960,0.924
MONEY,1959,1.006
MONEY,1958,1.038
MONEY,1957,0.993
MONEY,1956,1.012
MONEY,1955,1.020
MONEY,1954,1.029
MONEY,1953,1.010
MONEY,1952,1.038
MONEY,1951,1.055
MONEY,1950,1.057
MONEY,1949,0.994
MONEY,1948,0.985
