team,date,home,neutral,opponent,tmPts,oppPts,OT,tmWeek,oppWeek,week,tmSprd,oppSprd,OU,season,month,day,year,code,tmWin,tmATSWin,tmOver,tmWinSeas,tmLosSeas,tmWinStrk,tmLosStrk,tmATSWinSeas,tmATSLosSeas,tmATSWinStrk,tmATSLosStrk,tmOVRSeas,tmUDRSeas,tmOVRStrk,tmUDRStrk,opWin,opATSWin,opOver,opWinSeas,opLosSeas,opWinStrk,opLosStrk,opATSWinSeas,opATSLosSeas,opATSWinStrk,opATSLosStrk,opOVRSeas,opUDRSeas,opOVRStrk,opUDRStrk
DEN,10/13/2013,1,0,JAC,35,19,0,6,6,6,-26.5,26.5,53,2013,10,13,2013,2DENJAC//10//13//2013,1,-1,1,5,0,5,0,3.5,1.5,0,1,5,0,5,0,-1,1,1,0,5,0,5,0,5,0,5,3,2,1,0
NE,11/25/2007,1,0,PHI,31,28,0,11,11,12,-24,24,52,2007,11,25,2007,2NEPHI//11//25//2007,1,-1,1,10,0,10,0,9,1,1,0,8,2,1,0,-1,1,1,5,5,2,0,5,5,2,0,5,5,0,1
DAL,9/22/2019,1,0,MIA,31,6,0,3,3,3,-22,22,46.5,2019,9,22,2019,2DALMIA//9//22//2019,1,1,-1,2,0,2,0,2,0,2,0,2,0,2,0,-1,-1,-1,0,2,0,2,0,2,0,2,0,2,0,1
NE,12/23/2007,1,0,MIA,28,7,0,15,15,16,-22,22,45,2007,12,23,2007,2NEMIA//12//23//2007,1,-1,-1,14,0,14,0,10,4,0,1,10,4,0,2,-1,1,-1,1,13,1,0,5.5,8.5,1,0,8,6,3,0
NE,12/16/2007,1,0,NYJ,20,10,0,14,14,15,-20.5,20.5,41.5,2007,12,16,2007,2NENYJ//12//16//2007,1,-1,-1,13,0,13,0,10,3,1,0,10,3,0,1,-1,1,-1,3,10,0,1,4.5,8.5,0,1,5.5,7.5,0,1
NE,12/4/2011,1,0,IND,31,24,0,12,12,13,-20.5,20.5,48.5,2011,12,4,2011,2NEIND//12//4//2011,1,-1,1,8,3,3,0,7,4,3,0,6,5,1,0,-1,1,1,0,11,0,11,2,9,0,7,7,4,0,4
NE,9/22/2019,1,0,NYJ,30,14,0,3,3,3,-20.5,20.5,43,2019,9,22,2019,2NENYJ//9//22//2019,1,-1,1,2,0,2,0,2,0,2,0,0,2,0,2,-1,1,1,0,2,0,2,0,2,0,2,1,1,0,2
BAL,1/4/2025,1,0,CLE ,35,10,0,17,17,18,-20,20,42,2024,1,4,2025,1BALCLE //1//4//2025,1,1,1,11,5,3,0,9.5,6.5,3,0,12,4,0,1,-1,-1,1,3,13,0,5,4,12,0,5,6,10,0,4
KC,11/1/2020,1,0,NYJ ,35,9,0,8,8,8,-20,20,49,2020,11,1,2020,1KCNYJ //11//1//2020,1,1,-1,6,1,2,0,5,2,2,0,3,4,1,0,-1,-1,-1,0,7,0,7,1,6,1,0,2,5,0,3
SEA,9/22/2013,1,0,JAC,45,17,0,3,3,3,-19.5,19.5,39,2013,9,22,2013,2SEAJAC//9//22//2013,1,1,1,2,0,2,0,2,0,2,0,0,2,0,2,-1,-1,1,0,2,0,2,0,2,0,2,1,1,0,2
BUF,10/3/2021,1,0,HOU ,40,0,0,4,4,4,-19,19,48,2021,10,3,2021,1BUFHOU //10//3//2021,1,1,-1,2,1,2,0,2,1,2,0,1,2,1,0,-1,-1,-1,1,2,0,2,2,1,0,1,1,2,0,1
NE,12/3/2007,0,0,BAL,27,24,0,12,12,13,-19,19,46,2007,12,3,2007,1BALNE//12//3//2007,1,-1,1,11,0,11,0,9,2,0,1,9,2,2,0,-1,1,1,4,7,0,5,1,10,0,5,6,5,2,0
NE,9/15/2019,0,0,MIA,43,0,0,2,2,2,-18,18,48.5,2019,9,15,2019,1MIANE//9//15//2019,1,1,-1,1,0,1,0,1,0,1,0,0,1,0,1,-1,-1,-1,0,1,0,1,0,1,0,1,0,1,1,0
DAL,11/12/2023,1,0,NYG ,49,17,0,9,10,10,-17.5,17.5,38.5,2023,11,12,2023,1DALNYG //11//12//2023,1,1,1,5,3,0,1,5,3,0,1,5,3,2,0,-1,-1,1,2,7,0,2,2.5,6.5,0,1,2,7,0,7
LAR,12/20/2020,1,0,NYJ ,20,23,0,14,14,15,-17.5,17.5,44.5,2020,12,20,2020,1LARNYJ //12//20//2020,-1,-1,-1,9,4,2,0,8,5,2,0,4,9,0,1,1,1,-1,0,13,0,13,4,9,0,1,5,8,0,1
NE,12/29/2019,1,0,MIA,24,27,0,16,16,17,-17.5,17.5,46,2019,12,29,2019,2NEMIA//12//29//2019,-1,-1,1,12,3,2,0,8.5,6.5,1,0,6,9,2,0,1,1,1,4,11,1,0,8,7,1,0,8,7,2,0
ARI,10/24/2021,1,0,HOU ,31,5,0,7,7,7,-17,17,47,2021,10,24,2021,1ARIHOU //10//24//2021,1,1,-1,6,0,6,0,5,1,4,0,2.5,3.5,0,2,-1,-1,-1,1,5,0,5,3,3,0,1,2,4,0,1
BAL,12/12/2019,1,0,NYJ,42,21,0,14,14,15,-17,17,44,2019,12,12,2019,2BALNYJ//12//12//2019,1,1,1,11,2,9,0,7,6,1,0,7,6,0,2,-1,-1,1,5,8,1,0,5,8,0,2,7,6,0,3
BAL,12/15/2024,0,0,NYG ,35,14,0,14,14,15,-17,17,43.5,2024,12,15,2024,2NYG BAL//12//15//2024,1,1,1,8,5,0,1,6.5,6.5,0,1,10,3,0,1,-1,-1,1,2,11,0,8,3.5,9.5,1,0,5,8,0,1
BUF,10/20/2019,1,0,MIA,31,21,0,6,6,7,-17,17,42.5,2019,10,20,2019,2BUFMIA//10//20//2019,1,-1,1,4,1,1,0,4,1,2,0,0,5,0,5,-1,1,1,0,5,0,5,1,4,1,0,1,4,0,4
DAL,12/11/2022,1,0,HOU ,27,23,0,13,13,14,-17,17,44.5,2022,12,11,2022,1DALHOU //12//11//2022,1,-1,1,9,3,3,0,8,4,1,0,6,6,2,0,-1,1,1,1.5,10.5,0,7,4,8,0,4,5,7,0,4
DEN,12/30/2012,1,0,KC,38,3,0,16,16,17,-17,17,41,2012,12,30,2012,2DENKC//12//30//2012,1,1,0,12,3,10,0,9,6,3,0,10,5,2,0,-1,-1,0,2,13,0,3,5,10,0,3,5.5,9.5,0,3
IND,10/8/2006,1,0,TEN,14,13,0,5,5,5,-17,17,48,2006,10,8,2006,2INDTEN//10//8//2006,1,-1,-1,4,0,4,0,3,1,0,1,2,2,1,0,-1,1,-1,0,4,0,4,1,3,0,1,2,2,1,0
LAC,12/9/2018,1,0,CIN,26,21,0,13,13,14,-17,17,48.5,2018,12,9,2018,2LACCIN//12//9//2018,1,-1,-1,9,3,2,0,7,5,2,0,7,5,2,0,-1,1,-1,5,7,0,4,5,7,0,2,7,5,0,1
LAR,10/24/2021,1,0,DET ,28,19,0,7,7,7,-17,17,51,2021,10,24,2021,1LARDET //10//24//2021,1,-1,-1,5,1,2,0,4,2,2,0,5,1,1,0,-1,1,-1,0,6,0,6,2,4,0,1,1,5,0,4
MIN,11/15/2009,1,0,DET,27,10,0,9,9,10,-17,17,47.5,2009,11,15,2009,2MINDET//11//15//2009,1,0,-1,7,1,1,0,5,3,1,0,6,2,1,0,-1,0,-1,1,7,0,5,2,6,0,3,3,5,1,0
NE,11/21/2011,1,0,KC,34,3,0,10,10,11,-17,17,47,2011,11,21,2011,2NEKC//11//21//2011,1,1,-1,6,3,1,0,5,4,1,0,5,4,1,0,-1,-1,-1,4,5,0,2,5,4,0,2,2,7,0,4
NE,12/24/2016,1,0,NYJ,41,3,0,15,15,16,-17,17,45,2016,12,24,2016,2NENYJ//12//24//2016,1,1,-1,12,2,5,0,11,3,3,0,5,9,0,1,-1,-1,-1,4,10,0,1,5,9,0,1,6.5,7.5,1,0
NE,11/26/2017,1,0,MIA,35,17,0,11,27,12,-17,17,49,2017,11,26,2017,2NEMIA//11//26//2017,1,1,1,8,2,6,0,6,4,4,0,5,5,0,1,-1,-1,1,14,12,0,4,13,13,0,3,18,8,5,0
NE,12/31/2017,1,0,NYJ,26,6,0,16,16,17,-17,17,43.5,2017,12,31,2017,2NENYJ//12//31//2017,1,1,-1,12,3,2,0,10,5,2,0,7,8,1,0,-1,-1,-1,5,10,0,3,9.5,5.5,2,0,8,7,0,1
NE,1/2/2022,1,0,JAC ,50,10,0,16,16,17,-17,17,42,2021,1,2,2022,1NEJAC //1//2//2022,1,1,1,9,6,0,2,9,6,0,2,7,8,1,0,-1,-1,1,2,13,0,7,4,11,0,6,4,11,2,0
NO,11/29/2020,0,0,DEN ,31,3,0,11,11,12,-17,17,36,2020,11,29,2020,2DEN NO//11//29//2020,1,1,-1,8,2,7,0,5,5,3,0,7,3,0,3,-1,-1,-1,4,6,1,0,5,5,1,0,5,5,0,2
BAL,12/11/2011,1,0,IND,24,10,0,13,13,14,-16.5,16.5,41.5,2011,12,11,2011,2BALIND//12//11//2011,1,-1,-1,9,3,3,0,7.5,4.5,2,0,8,4,0,2,-1,1,-1,0,12,0,12,3,9,1,0,7,5,1,0
DEN,12/28/2014,1,0,LV,47,14,0,16,16,17,-16.5,16.5,49,2014,12,28,2014,2DENLV//12//28//2014,1,1,1,11,4,0,1,7,8,0,1,9,6,1,0,-1,-1,1,3,12,1,0,8,7,1,0,10,5,2,0
IND,12/14/2008,1,0,DET,31,21,0,14,14,15,-16.5,16.5,44.5,2008,12,14,2008,2INDDET//12//14//2008,1,-1,1,9,4,6,0,6.5,6.5,2,0,6,7,0,3,-1,1,1,0,13,0,13,5,8,1,0,8.5,4.5,0,1
KC,11/11/2018,1,0,ARI,26,14,0,10,9,10,-16.5,16.5,49.5,2018,11,11,2018,2KCARI//11//11//2018,1,-1,-1,8,1,3,0,8,1,1,0,5.5,3.5,1,0,-1,1,-1,2,6,1,0,4.5,3.5,1,0,3,5,0,1
KC,11/27/2022,1,0,LAR,26,10,0,11,11,12,-16.5,16.5,42,2022,11,27,2022,1KCLA //11//27//2022,1,-1,-1,8,2,4,0,3.5,6.5,0,2,5,5,1,0,-1,1,-1,3,7,0,4,2.5,7.5,0,3,4,6,2,0
MIN,9/23/2018,1,0,BUF,6,27,0,3,3,3,-16.5,16.5,41,2018,9,23,2018,2MINBUF//9//23//2018,-1,-1,-1,1.5,0.5,1,0,1,1,0,1,1,1,1,0,1,1,-1,0,2,0,2,0,2,0,2,1,1,2,0
MIN,10/24/2019,1,0,WAS,19,9,0,8,8,8,-16.5,16.5,42,2019,10,24,2019,2MINWAS//10//24//2019,1,-1,-1,5,2,3,0,5,2,3,0,3,4,2,0,-1,1,-1,1,6,0,1,2,5,1,0,2,5,0,4
NE,9/23/2007,1,0,BUF,38,7,0,3,3,3,-16.5,16.5,41,2007,9,23,2007,2NEBUF//9//23//2007,1,1,1,2,0,2,0,2,0,2,0,2,0,2,0,-1,-1,1,0,2,0,2,1,1,0,1,1,1,0,2
NE,10/10/2019,1,0,NYG,35,14,0,6,6,6,-16.5,16.5,43,2019,10,10,2019,2NENYG//10//10//2019,1,1,1,5,0,5,0,3,2,1,0,1,4,0,2,-1,-1,1,2,3,0,1,2,3,0,1,2,3,0,2
NO,12/17/2017,1,0,NYJ,31,19,0,14,14,15,-16.5,16.5,47,2017,12,17,2017,2NONYJ//12//17//2017,1,-1,1,9,4,0,1,8,5,0,1,7,6,0,1,-1,1,1,5,8,0,1,7.5,5.5,0,1,8,5,0,1
PHI,1/8/2023,1,0,NYG ,22,16,0,17,17,18,-16.5,16.5,42.5,2022,1,8,2023,1PHINYG //1//8//2023,1,-1,-1,13,3,0,2,8.5,7.5,0,2,10,6,0,1,-1,1,-1,9.5,6.5,1,0,12,4,3,0,7.5,8.5,2,0
SEA,9/27/2015,1,0,CHI,26,0,0,3,3,3,-16.5,16.5,43.5,2015,9,27,2015,2SEACHI//9//27//2015,1,1,-1,0,2,0,2,0,2,0,2,1,1,0,1,-1,-1,-1,0,2,0,2,0,2,0,2,1,1,2,0
ARI,12/27/2009,1,0,LAR,31,10,0,15,15,16,-16,16,44,2009,12,27,2009,2ARILAR//12//27//2009,1,1,-1,9,5,1,0,8,6,0,2,5,9,1,0,-1,-1,-1,1,13,0,6,7,7,1,0,7,7,0,1
BUF,1/9/2022,1,0,NYJ ,27,10,0,17,17,18,-16,16,41,2021,1,9,2022,1BUFNYJ //1//9//2022,1,1,-1,10,6,3,0,9,7,0,1,8,8,0,1,-1,-1,-1,4,12,0,1,6,10,3,0,10,6,3,0
CHI,10/29/2006,1,0,SF,41,10,0,7,7,8,-16,16,41.5,2006,10,29,2006,2CHISF//10//29//2006,1,1,1,6,0,6,0,4,2,0,1,4.5,1.5,4,0,-1,-1,1,2,4,0,1,3,3,0,1,5,1,4,0
DAL,10/5/2008,1,0,CIN,31,22,0,5,5,5,-16,16,44.5,2008,10,5,2008,2DALCIN//10//5//2008,1,-1,1,3,1,0,1,2,2,0,1,2,2,1,0,-1,1,1,0,4,0,4,1,3,0,1,2,2,0,1
DEN,9/23/2013,1,0,LV,37,21,0,3,3,3,-16,16,48.5,2013,9,23,2013,2DENLV//9//23//2013,1,0,1,2,0,2,0,2,0,2,0,2,0,2,0,-1,0,1,1,1,1,0,2,0,2,0,1,1,0,2
