lotNum,wafer,wafer1,replicate,Y
1,1,1,1,181.247
1,1,1,2,181.28
1,1,1,3,185.021
1,1,1,4,180.144
1,1,1,5,192.57
1,1,1,6,178.741
1,1,1,7,184.153
1,1,1,8,184.353
1,1,1,9,183.117
1,2,2,1,175.267
1,2,2,2,179.844
1,2,2,3,181.146
1,2,2,4,177.338
1,2,2,5,186.057
1,2,2,6,174.399
1,2,2,7,177.372
1,2,2,8,176.336
1,2,2,9,181.514
2,1,3,1,167.718
2,1,3,2,169.956
2,1,3,3,169.99
2,1,3,4,171.56
2,1,3,5,173.597
2,1,3,6,170.791
2,1,3,7,174.165
2,1,3,8,177.706
2,1,3,9,173.53
2,2,4,1,170.758
2,2,4,2,171.292
2,2,4,3,174.332
2,2,4,4,172.261
2,2,4,5,182.649
2,2,4,6,169.322
2,2,4,7,173.764
2,2,4,8,173.029
2,2,4,9,175.668
3,1,5,1,169.054
3,1,5,2,180.211
3,1,5,3,175.635
3,1,5,4,173.23
3,1,5,5,189.497
3,1,5,6,169.856
3,1,5,7,176.436
3,1,5,8,183.451
3,1,5,9,182.449
3,2,6,1,168.988
3,2,6,2,167.017
3,2,6,3,171.493
3,2,6,4,169.388
3,2,6,5,184.821
3,2,6,6,169.489
3,2,6,7,175.134
3,2,6,8,172.061
3,2,6,9,173.397
4,1,7,1,163.152
4,1,7,2,168.664
4,1,7,3,168.263
4,1,7,4,167.962
4,1,7,5,180.989
4,1,7,6,162.585
4,1,7,7,168.864
4,1,7,8,169.165
4,1,7,9,173.407
4,2,8,1,163.486
4,2,8,2,169.566
4,2,8,3,171.937
4,2,8,4,169.265
4,2,8,5,182.96
4,2,8,6,165.758
4,2,8,7,171.937
4,2,8,8,170.835
4,2,8,9,167.428
5,1,9,1,171.76
5,1,9,2,167.284
5,1,9,3,168.186
5,1,9,4,170.691
5,1,9,5,182.015
5,1,9,6,170.424
5,1,9,7,172.628
5,1,9,8,164.946
5,1,9,9,165.48
5,2,10,1,166.048
5,2,10,2,167.15
5,2,10,3,163.71
5,2,10,4,167.718
5,2,10,5,176.036
5,2,10,6,166.449
5,2,10,7,166.616
5,2,10,8,169.422
5,2,10,9,166.148
6,1,11,1,180.077
6,1,11,2,178.507
6,1,11,3,174.8
6,1,11,4,175.601
6,1,11,5,186.457
6,1,11,6,181.013
6,1,11,7,176.938
6,1,11,8,175.869
6,1,11,9,176.236
6,2,12,1,169.121
6,2,12,2,167.919
6,2,12,3,165.58
