team,date,year,tmGmYr,opGmYr,home,teamPts,oppPts,OT,tmSprd,OU,tmSpDev,oppTeam,tmWin,tmATSWin,tmOver,tmWinSeas,tmLosSeas,tmWinStrk,tmLosStrk,tmATSWinSeas,tmATSLosSeas,tmATSWinStrk,tmATSLosStrk,tmOVRSeas,tmUDRSeas,tmOVRStrk,tmUDRStrk,opWin,opATSWin,opOver,opWinSeas,opLosSeas,opWinStrk,opLosStrk,opATSWinSeas,opATSLosSeas,opATSWinStrk,opATSLosStrk,opOVRSeas,opUDRSeas,opOVRStrk,opUDRStrk,day,month,year,dmy,code
ATL,5/15/2010,2010,1,1,0,75,70,0,5.5,168.5,10.5,LV,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,15,5,2010,15/5/2010,1ATLLV15/5/2010
ATL,5/16/2010,2010,2,2,1,66,62,0,-1,154.5,3,IND,1,1,-1,1,0,1,0,1,0,1,0,0,1,0,1,0,-1,-1,0,1,0,1,0,1,0,1,0,1,0,1,16,5,2010,16/5/2010,2INDATL16/5/2010
ATL,5/21/2010,2010,3,2,1,97,82,0,-5,157,10,CON,1,1,1,2,0,2,0,2,0,2,0,0,2,0,2,0,-1,1,1,0,1,0,1,0,1,0,0,1,0,1,21,5,2010,21/5/2010,2CONATL21/5/2010
ATL,5/23/2010,2010,4,3,0,86,77,0,3,165.5,12,NY,1,1,-1,3,0,3,0,3,0,3,0,1,2,1,0,0,-1,-1,1,1,0,1,0,2,0,2,1,1,0,1,23,5,2010,23/5/2010,1ATLNY23/5/2010
ATL,5/28/2010,2010,5,4,0,96,93,0,4,187,7,PHO,1,1,1,4,0,4,0,4,0,4,0,1,3,0,1,0,-1,1,2,1,1,0,1,2,1,0,2,1,2,0,28,5,2010,28/5/2010,1ATLPHO28/5/2010
ATL,5/30/2010,2010,6,5,0,101,82,0,2,161,21,LA,1,1,1,5,0,5,0,5,0,5,0,2,3,1,0,0,-1,1,1,3,1,0,1,2,0,2,3,1,3,0,30,5,2010,30/5/2010,1ATLLA30/5/2010
ATL,6/1/2010,2010,7,7,0,72,90,0,5.5,163.5,-12.5,SEA,0,-1,-1,6,0,6,0,6,0,6,0,3,3,2,0,1,1,-1,5,1,1,0,3,3,1,0,5,1,0,1,1,6,2010,1/6/2010,1ATLSEA1/6/2010
ATL,6/4/2010,2010,8,7,1,70,80,0,-6,165.5,-16,CHI,0,-1,-1,6,1,0,1,6,1,0,1,3,4,0,1,1,1,-1,2,4,2,0,3,3,2,0,3,3,0,1,4,6,2010,4/6/2010,2CHIATL4/6/2010
ATL,6/5/2010,2010,9,8,0,86,79,1,3,157,10,WAS,1,1,1,6,2,0,2,6,2,0,2,3,5,0,2,0,-1,1,4,3,1,0,4,1,1,0,3,4,0,1,5,6,2010,5/6/2010,1ATLWAS5/6/2010
ATL,6/11/2010,2010,10,8,0,79,91,0,2.5,165,-9.5,NY,0,-1,1,7,2,1,0,7,2,1,0,4,5,1,0,1,1,1,3,4,1,0,3,4,2,0,3,4,2,0,11,6,2010,11/6/2010,1ATLNY11/6/2010
ATL,6/13/2010,2010,11,9,1,90,83,0,-7.5,162.5,-0.5,LV,1,-1,1,7,3,0,1,7,3,0,1,5,5,2,0,0,1,1,3,5,1,0,3,5,1,0,3,5,2,0,13,6,2010,13/6/2010,2LVATL13/6/2010
ATL,6/15/2010,2010,12,11,0,93,86,0,2.5,164.5,9.5,CHI,1,1,1,8,3,1,0,7,4,0,2,6,5,3,0,0,-1,1,4,6,0,2,5,5,0,2,6,4,3,0,15,6,2010,15/6/2010,1ATLCHI15/6/2010
ATL,6/19/2010,2010,13,12,0,91,94,0,6,157,3,IND,0,1,1,9,3,2,0,8,4,1,0,7,5,4,0,1,-1,1,7,4,2,0,6,5,2,0,3,8,0,2,19,6,2010,19/6/2010,1ATLIND19/6/2010
ATL,6/23/2010,2010,14,12,1,96,90,0,-11.5,178,-5.5,DAL,1,-1,1,9,4,0,1,9,4,2,0,8,5,5,0,0,1,1,3,8,0,5,3,8,0,5,6,5,0,2,23,6,2010,23/6/2010,2DALATL23/6/2010
ATL,6/27/2010,2010,15,13,1,89,81,0,-10.5,167.5,-2.5,LA,1,-1,1,10,4,1,0,9,5,0,1,9,5,6,0,0,1,1,3,9,0,2,3,7,0,1,8,4,0,2,27,6,2010,27/6/2010,2LAATL27/6/2010
ATL,6/29/2010,2010,16,15,1,94,88,0,-7,189.5,-1,PHO,1,-1,-1,11,4,2,0,9,6,0,2,10,5,7,0,0,1,-1,5,9,0,4,5,9,0,1,10,3,1,0,29,6,2010,29/6/2010,2PHOATL29/6/2010
ATL,7/1/2010,2010,17,16,1,76,58,0,-9.5,172.5,8.5,MIN,1,1,-1,12,4,3,0,9,7,0,3,10,6,0,1,0,-1,-1,5,10,0,1,7,8,0,1,7,8,0,4,1,7,2010,1/7/2010,2MINATL1/7/2010
ATL,7/3/2010,2010,18,17,1,82,88,0,-7,165.5,-13,CHI,0,-1,1,13,4,4,0,10,7,1,0,10,7,0,2,1,1,1,7,9,1,0,9,7,1,0,10,6,1,0,3,7,2010,3/7/2010,2CHIATL3/7/2010
ATL,7/7/2010,2010,19,18,1,108,103,1,-7.5,169,-2.5,CON,1,-1,1,13,5,0,1,10,8,0,1,11,7,1,0,0,1,1,10,7,0,2,8,8,0,2,8,9,0,1,7,7,2010,7/7/2010,2CONATL7/7/2010
ATL,7/14/2010,2010,20,18,0,81,83,0,-2,167,-4,MIN,0,-1,-1,14,5,1,0,10,9,0,2,12,7,2,0,1,1,-1,6,11,1,0,8,9,1,0,8,9,1,0,14,7,2010,14/7/2010,1ATLMIN14/7/2010
ATL,7/16/2010,2010,21,19,0,70,89,0,6.5,162.5,-12.5,IND,0,-1,-1,14,6,0,1,10,10,0,3,12,8,0,1,1,1,-1,11,7,0,1,10,8,0,1,6,12,0,1,16,7,2010,16/7/2010,1ATLIND16/7/2010
ATL,7/17/2010,2010,22,20,0,80,96,0,6,172,-10,CON,0,-1,1,14,7,0,2,10,11,0,4,12,9,0,2,1,1,1,11,8,1,0,10,8,2,0,9,10,0,1,17,7,2010,17/7/2010,1ATLCON17/7/2010
ATL,7/21/2010,2010,23,20,0,72,82,0,3.5,162,-6.5,WAS,0,-1,-1,14,8,0,3,10,12,0,5,13,9,1,0,1,1,-1,12,7,0,2,11,6,0,2,8,11,0,3,21,7,2010,21/7/2010,1ATLWAS21/7/2010
ATL,7/25/2010,2010,24,22,1,82,75,0,-5.5,162.5,1.5,NY,1,1,-1,14,9,0,4,10,13,0,6,13,10,0,1,0,-1,-1,11,10,2,0,11,9,2,0,8,12,2,0,25,7,2010,25/7/2010,2NYATL25/7/2010
ATL,7/27/2010,2010,25,24,0,105,89,0,-8.5,174,7.5,DAL,1,1,1,15,9,1,0,11,13,1,0,13,11,0,2,0,-1,1,4,19,0,4,7,16,0,2,12,11,0,1,27,7,2010,27/7/2010,1ATLDAL27/7/2010
ATL,7/30/2010,2010,26,24,0,94,62,0,3.5,176,35.5,CON,1,1,-1,16,9,2,0,12,13,2,0,14,11,1,0,0,-1,-1,13,10,1,0,12,10,1,0,12,10,3,0,30,7,2010,30/7/2010,1ATLCON30/7/2010
ATL,8/1/2010,2010,27,25,1,90,74,0,-2.5,162,13.5,IND,1,1,1,17,9,3,0,13,13,3,0,14,12,0,1,0,-1,1,16,8,0,1,14,10,0,2,10,14,3,0,1,8,2010,1/8/2010,2INDATL1/8/2010
